"In AI-powered test automation, what is the primary limitation of a Large Language Model (LLM) on its own?","An LLM can generate content and code, but it cannot execute it or interact with browsers, APIs, or databases."
What component is introduced to overcome the execution limitations of an LLM in test automation?,"An agent is used, which takes instructions from the LLM to perform real-world tasks using external tools."
The external tool that an agent uses to interact with the browser and execute test code in the SDET-QA video is called _____.,MCP (Model Context Protocol)
"What is the relationship between an LLM, an Agent, and an MCP in the described test automation architecture?","The user prompts the LLM, which instructs the Agent, and the Agent uses the MCP to perform the actions."
What are the two main prerequisites mentioned for using Playwright MCP with GitHub Copilot and VS Code?,A VS Code editor and a GitHub account.
"In the context of the SDET-QA video, is GitHub Copilot classified as an LLM, an agent, or an MCP?",GitHub Copilot is classified as an LLM.
What is the function of the Playwright MCP server after GitHub Copilot generates automation code?,The Playwright MCP server runs the generated code and can automatically fix issues if the code fails.
What are the four main ways to select an option from a standard dropdown in Playwright using the `selectOption` method?,"By visible text (label), value attribute, index, or by passing an object with keys like `{ value: '...' }` or `{ label: '...' }`."
How can you verify the total number of options within a dropdown element in Playwright?,"By locating all option elements and using the `.toHaveCount()` assertion (e.g., `expect(options).toHaveCount(10)`)."
What Playwright method retrieves all the visible text from a group of located elements as an array of strings?,The `allInnerTexts()` method.
"How can you check if a specific option, like 'Japan', is present in a dropdown menu using Playwright assertions?",Retrieve all option texts into an array and use the `expect(array).toContain('Japan')` assertion.
What is the key difference in selecting options between a single-select and a multi-select dropdown in Playwright?,"In a multi-select dropdown, you can pass an array of values to the `selectOption` method to select multiple options at once."
Describe a method to verify if the options in a dropdown are sorted alphabetically.,"Retrieve all option texts into an array, create a sorted copy of that array, and then assert that the original array is equal to the sorted copy."
"What JavaScript data structure is ideal for identifying duplicate options within a dropdown list, and why?","A `Set` is ideal because it cannot store duplicate values, allowing you to compare its size to the original array's size to find duplicates."
What are 'auto-suggest' or 'dynamic' dropdowns?,They are dropdowns where the options change dynamically based on the user's input in a search box.
What is a common challenge when trying to inspect elements within an auto-suggest dropdown?,The elements often disappear from the DOM as soon as you try to inspect them.
What command can be used in the browser's console to prevent auto-suggest options from disappearing during inspection?,The `Emulate a focused page` command in the browser's command menu (Ctrl+Shift+P).
"In Playwright, if a locator matches multiple elements, how can you iterate through them to find and click a specific one based on its text?","Use a `for` loop from 0 to the count of the elements, get the text of each element using `.nth(i)`, and click it if the text matches."
"The Playwright feature that performs checks on elements to ensure they are, for example, visible, stable, and enabled before performing an action is called _____.",Auto-waiting
What is the default timeout for a single test in Playwright?,"30,000 milliseconds (30 seconds)."
What is the default timeout for an `expect` assertion in Playwright?,"5,000 milliseconds (5 seconds)."
